rating,brand,hierarchicalCategories,type,price,url,objectID,image,categories,popularity,free_shipping,name,description,price_range
4,SodaStream,"{'lvl0': 'Appliances', 'lvl1': 'Appliances > Small Kitchen Appliances', 'lvl2': 'Appliances > Small Kitchen Appliances > Soda Makers & Mixes', 'lvl3': 'Appliances > Small Kitchen Appliances > Soda Makers & Mixes > Drink & Soda Mixes'}",Food,6.99,http://www.bestbuy.com/site/sodastream-berry-flavor-mix-red/4302100.p?id=bb4302100&skuId=4302100&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,972c34115d851ba523bc16ec0ab2b098,https://cdn-demo.algolia.com/bestbuy/4302100_rb.jpg,"['Appliances', 'Small Kitchen Appliances', 'Soda Makers & Mixes', 'Drink & Soda Mixes']",507,False,SodaStream - Berry Flavor Mix - Red,"SodaStream Berry Flavor Mix: Make up to 9L of berry-flavored sparkling water with this 440ml of flavor mix, which is designed for use with SodaStream sparkling water makers.",1 - 50
3,SodaStream,"{'lvl0': 'Appliances', 'lvl1': 'Appliances > Small Kitchen Appliances', 'lvl2': 'Appliances > Small Kitchen Appliances > Soda Makers & Mixes'}",Soda makers,79.99,http://www.bestbuy.com/site/sodastream-jet-soda-maker-starter-kit-black-silver/3386931.p?id=1218397303504&skuId=3386931&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,8f0b605e0b5fe80442a0ea29b25f7c60,https://cdn-demo.algolia.com/bestbuy/3386931_sb.jpg,"['Appliances', 'Small Kitchen Appliances', 'Soda Makers & Mixes']",505,False,SodaStream - Jet Soda Maker Starter Kit - Black/Silver,Make your own tasty beverage with this SodaStream Jet soda maker starter kit that includes a 60-liter carbonator for easily adding carbonation to beverages and a BPA-free plastic bottle for taking your favorite beverage on the go.,50 - 100
6,SodaStream,"{'lvl0': 'Appliances', 'lvl1': 'Appliances > Small Kitchen Appliances', 'lvl2': 'Appliances > Small Kitchen Appliances > Soda Makers & Mixes', 'lvl3': 'Appliances > Small Kitchen Appliances > Soda Makers & Mixes > Soda Makers'}",So soda maker accy,89.99,http://www.bestbuy.com/site/sodastream-play-machine-soda-maker-black/9359293.p?id=1219405814965&skuId=9359293,be7bcd2421313e6b35f03717b13f5ff3,https://cdn-demo.algolia.com/bestbuy/9359293_sb.jpg,"['Appliances', 'Small Kitchen Appliances', 'Soda Makers & Mixes', 'Soda Makers']",504,False,SodaStream - Play Machine Soda Maker - Black,"Make bubbly, tasty sparkling water and seltzer at home with this SodaStream Play Machine 1013211011 soda maker, which utilizes a CO&#8322; canister to create carbonated beverages with ease. The snap-lock mechanism secures your bottle in place.",50 - 100
6,SodaStream,"{'lvl0': 'Appliances', 'lvl1': 'Appliances > Small Kitchen Appliances', 'lvl2': 'Appliances > Small Kitchen Appliances > Soda Makers & Mixes'}",Soda makers,99.99,http://www.bestbuy.com/site/sodastream-source-home-soda-maker-white/7370382.p?id=1218841423271&skuId=7370382&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,2016dc27f7cc30f18815b34170e0ce98,https://cdn-demo.algolia.com/bestbuy/7370382_rb.jpg,"['Appliances', 'Small Kitchen Appliances', 'Soda Makers & Mixes']",502,False,SodaStream - Source Home Soda Maker - White,"Create fizzy, delicious sparkling water or seltzer with this SodaStream Source 1019511014 home soda maker that features custom carbonation controls, so you can make beverages to your taste. The included caps help keep drinks fresh.",50 - 100
1,SodaStream,"{'lvl0': 'Appliances', 'lvl1': 'Appliances > Small Kitchen Appliances', 'lvl2': 'Appliances > Small Kitchen Appliances > Soda Makers & Mixes', 'lvl3': 'Appliances > Small Kitchen Appliances > Soda Makers & Mixes > Soda Maker Accessories'}",Soda makers,29.99,http://www.bestbuy.com/site/sodastream-spare-carbonator/2794077.p?id=1218351663192&skuId=2794077&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,c4d3198d226d8fd420177364aadbe331,https://cdn-demo.algolia.com/bestbuy/2794077_sb.jpg,"['Appliances', 'Small Kitchen Appliances', 'Soda Makers & Mixes', 'Soda Maker Accessories']",501,True,SodaStream - Spare Carbonator,This carbonator adds carbonation to water or soda for a delicious beverage.,1 - 50
5,SOL REPUBLIC,"{'lvl0': 'Audio', 'lvl1': 'Audio > Headphones', 'lvl2': 'Audio > Headphones > Earbud & In-Ear Headphones'}",Earbud headphones,39.99,http://www.bestbuy.com/site/sol-republic-jax-earbud-headphones-black/8914879.p?id=1218946989224&skuId=8914879&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,ef5ad80d84199def6971cac1eec1bd0e,https://cdn-demo.algolia.com/bestbuy/8914879_sb.jpg,"['Audio', 'Headphones', 'Earbud & In-Ear Headphones']",497,False,SOL REPUBLIC - JAX Earbud Headphones - Black,"These SOL REPUBLIC JAX 1112-31 earbud headphones feature a sound-isolating design for crisp, pure audio. The high-clarity microphone enables hands-free communication, while the 3-button remote offers a simple method of control.",1 - 50
5,SOL REPUBLIC,"{'lvl0': 'Audio', 'lvl1': 'Audio > Headphones', 'lvl2': 'Audio > Headphones > Earbud & In-Ear Headphones'}",Earbud headphones,29.99,http://www.bestbuy.com/site/sol-republic-jax-earbud-headphones-blue/9060242.p?id=1218978287992&skuId=9060242&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,0980718a7bdcf89f5848b202b6394965,https://cdn-demo.algolia.com/bestbuy/9060242_sb.jpg,"['Audio', 'Headphones', 'Earbud & In-Ear Headphones']",496,False,SOL REPUBLIC - Jax Earbud Headphones - Blue,"Chat on the go with these SOL REPUBLIC Jax 1112-36 earbud headphones, which feature a high-clarity microphone that enables easy hands-free conversation with compatible devices. The i2 Sound Engines deliver powerful audio.",1 - 50
1,SOL REPUBLIC,"{'lvl0': 'Audio', 'lvl1': 'Audio > Headphones', 'lvl2': 'Audio > Headphones > Earbud & In-Ear Headphones'}",Earbud headphones,39.99,http://www.bestbuy.com/site/sol-republic-jax-earbud-headphones-red/3948109.p?id=1219609308464&skuId=3948109&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,5ca414808a1673669317d56dd0fd6b1b,https://cdn-demo.algolia.com/bestbuy/3948109_sb.jpg,"['Audio', 'Headphones', 'Earbud & In-Ear Headphones']",494,False,SOL REPUBLIC - JAX Earbud Headphones - Red,"Enjoy bold, clear audio with these SOL REPUBLIC JAX 1112-33 earbud headphones, which feature i2 sound engines for high-quality sound. The 1-button microphone/remote lets you make and receive phone calls and simplifies music playback.",1 - 50
2,SOL REPUBLIC,"{'lvl0': 'Audio', 'lvl1': 'Audio > Headphones', 'lvl2': 'Audio > Headphones > Over-Ear Headphones'}",On ear headphones,199.99,http://www.bestbuy.com/site/sol-republic-master-tracks-mfi-over-the-ear-headphones-gunmetal/8416044.p?id=1218875430023&skuId=8416044&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,69faf0d53eb73597d6cfd50175901a56,https://cdn-demo.algolia.com/bestbuy/8416044_sb.jpg,"['Audio', 'Headphones', 'Over-Ear Headphones']",492,True,SOL REPUBLIC - Master Tracks MFI Over-the-Ear Headphones - Gunmetal,"Enjoy vibrant audio with these SOL REPUBLIC Master Tracks MFI 1601-30 over-the-ear headphones, which feature X3 Sound Engines for powerful, high-quality sound and adjustable SonicSoft foam ear cushions that offer customized comfort.",100 - 200
3,SOL REPUBLIC,{'lvl0': 'Audio'},Wireless speakers,69.99,http://www.bestbuy.com/site/sol-republic-punk-indoor-outdoor-wireless-bluetooth-speaker-black/8733809.p?id=1219365660073&skuId=8733809&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,29446ebec998a09982353d9d7628ac58,https://cdn-demo.algolia.com/bestbuy/8733809_sb.jpg,['Audio'],491,False,SOL REPUBLIC - PUNK Indoor/Outdoor Wireless Bluetooth Speaker - Black,"This SOL REPUBLIC PUNK 1510-31 speaker features a Bluetooth interface, so you can wirelessly connect to most Bluetooth-enabled devices from up to 60' away. The water-, dust- and shock-resistant design allows safe indoor and outdoor use.",50 - 100
5,SOL REPUBLIC,{'lvl0': 'Audio'},Wireless speakers,59.99,http://www.bestbuy.com/site/sol-republic-punk-indoor-outdoor-wireless-bluetooth-speaker-fluoro-red/8733827.p?id=1219365659813&skuId=8733827&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,2fea0f2cec6b6324a277d4a61c2ed2c6,https://cdn-demo.algolia.com/bestbuy/8733827_sb.jpg,['Audio'],490,False,SOL REPUBLIC - PUNK Indoor/Outdoor Wireless Bluetooth Speaker - Fluoro Red,"This SOL REPUBLIC PUNK 1510-33 speaker features a Bluetooth interface, so you can wirelessly connect to most Bluetooth-enabled devices from up to 60' away. The water-, dust- and shock-resistant design allows safe indoor and outdoor use.",50 - 100
4,Sony,"{'lvl0': 'Audio', 'lvl1': 'Audio > Home Audio', 'lvl2': 'Audio > Home Audio > Receivers & Amplifiers', 'lvl3': 'Audio > Home Audio > Receivers & Amplifiers > Receivers'}",Receivers,149.99,http://www.bestbuy.com/site/sony-200w-2-0-ch-stereo-receiver-black/4550834.p?id=1218487074629&skuId=4550834&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,7f601afbca26d221fc2d957b6e211e72,https://cdn-demo.algolia.com/bestbuy/4550834_sb.jpg,"['Audio', 'Home Audio', 'Receivers & Amplifiers', 'Receivers']",432,False,Sony - 200W 2.0-Ch. Stereo Receiver - Black,"This Sony STRDH130 stereo receiver features an AM/FM radio with 60 station presets, so you can easily find and enjoy your favorite radio programming. Speaker A/B switching helps simplify operation.",100 - 200
